id	name	code	country_code	coordinates	municipality	province
1311	Puits Ii A Hermalle  Sous Argenteau	HERMALL2	BE		HERMALLE SOUS ARGENTEAU	WALLONIE
1312	Source A Waha Pres De Marche En Famenne	WAHASP	BE		WAHA	WALLONIE
1313	Sources C1 S2 S3 S4	C1S234SP	BE		WAHA	WALLONIE
1314	Grotte De Han	GRODEHAN	BE		HAN SUR LESSE	WALLONIE
1315	Nappe Phreatique De Hermalle Sous Argenteau	HERMALLE	BE		HERMALLE SOUS ARGENTEAU	WALLONIE
1316	Puits A Heugum	HEUGUMWE	NL		HEUGEM	LIMBOURG
1318	Puits De La Ferme Du Chateau Wittem	WITTEMWE	NL		GULPEN	LIMBOURG
1319	Puits Nb1 De L' Abbaye St Remy	ABREMYWE	BE		HAVRENNE	WALLONIE
1320	Trou Balza	BALZATRO	BE		IVOY	WALLONIE
1321	Grotte Du Chalet	CHALEGRO	BE		AYWAILLE	WALLONIE
1322	Captage De Champalle P2	CHAMPAL2	BE		ANHEE	WALLONIE
1323	Captage De Champalle P4	CHAMPAL4	BE		ANHEE	WALLONIE
1324	Puits D Eprave	EPRAVEWE	BE		EPRAVE	WALLONIE
1326	Source De La Machine	MACHINSP	BE		CRUPET	WALLONIE
1327	Puits De La Maison Communale (Captage)	MAISCOWE	BE		HAN SUR LESSE	WALLONIE
1331	Captage Nb1 De L' Abbaye Notre Dame De Rochefort	ROCHEFO1	BE		ROCHEFORT	WALLONIE
1333	Citerne De La Place De Wavreille	WAVREILL	BE		WAVREILLE	WALLONIE
1334	Fiume Piave A Belluno Aval Du Pont	BELLUNO	IT		BELLUNO	VENETIE
1335	Ponte Di Nimis Hyporheic Zone Of The Val Torre Torrent	NIMIS	IT		NIMIS	UDINE
1336	Vipava River Zalosce	ZALOSCE	SI		ZALOSCE	DORNBERK
1337	Fiume Tagliamento. A Monte Del Ponte Di Pinzano	CKMAP087	IT		RAGOGNA	FRIULI VENEZIA GIULIA
