CollCode;AssBy;VerbLoc;LocID;Lat;Long;LatLongP;Country;CountryCod;IdenVer;Phylum;Class;Order;Family;Genus;Species;TaxRank;TaxStat;OccID;BasRec;RefBy
World Asellidae Database;Florian Malard;SPRING IN KNIN;KNINSP;44.03833;16.1948;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|KNINSP_196400;Literature;MALARD F
World Asellidae Database;Florian Malard;RIO NOGUERA RIBAGORZANA PONT DE SUERT;NOGUERA1;42.4091;0.73948;0.100;SPAIN;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|NOGUERA1_197200;Literature;MALARD F
World Asellidae Database;Florian Malard;RIO NOGUERA PALLARESA;NOGUERA3;42.2842;1.03792;0.100;SPAIN;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|NOGUERA3_197200;Literature;MALARD F
World Asellidae Database;Florian Malard;WELL, SOCERGA;SOCERGPT;45.46473;13.89332;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SOCERGPT_196400;Literature;MALARD F
World Asellidae Database;Florian Malard;TOSS RIVER UPSTREAM OF WINTERTHUR;TOSSRIV;47.52317;8.61193;0.100;SWITZERLAND;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|TOSSRIV_199500;Literature;MALARD F
World Asellidae Database;Florian Malard;FONTANA TOSI;CKMAP097;45.55766;8.55155;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_A|CKMAP097_199600;Literature;MALARD F
World Asellidae Database;Florian Malard;FONTANILE A CACCIANA;CKMAP107;45.64709;8.42251;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_A|CKMAP107_199600;Literature;MALARD F
World Asellidae Database;Florian Malard;FONTANILE A CENTALE;CKMAP108;45.64709;8.42251;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_A|CKMAP108_199500;Literature;MALARD F
World Asellidae Database;Florian Malard;IN UN POZZO POZZUOLO DEL FRIULI;CKMAP142;45.99527;13.25705;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_GR_CAVATICUS|CKMAP142_190000;Literature;MALARD F
World Asellidae Database;Florian Malard;RISORGENZA DELLA GIACHEIRA (838 LI/IM);CKMAP316;43.93063;7.69188;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_GR_CAVATICUS|CKMAP316_199700;Literature;MALARD F
World Asellidae Database;Florian Malard;RISORGENZA DI CREPPO (390 LI/IM). CREPPO;CKMAP317;44.02201;7.81464;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_GR_CAVATICUS|CKMAP317_199600;Literature;MALARD F
World Asellidae Database;Florian Malard;SORGENTE DEL MOLINO. FRAZIONE NOCI;CKMAP369;44.56749;9.44077;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP_GR_CAVATICUS|CKMAP369_199600;Literature;MALARD F
