code	year	verbatim	authors	journal	title
Florentin_1904_Feuille_J_Nat_34_176_179	1904	Florentin R. 1904. Faune des grottes de Sainte-Reine. Feuille J. Nat., 34, 176-179.	Florentin R.	Nat	Faune des grottes de Sainte-Reine. Feuille J.
Flasarova_1995_Acta_sc_nat_Brno_29_2_4_1_156	1995	Flasarova M. 1995. Die Isopoden Nordwestbohmens (Crustacea: Isopoda: Asellota et Oniscidea). Acta sc. nat. Brno, 29(2-4), 1-156.	Flasarova M.	Brno	Die Isopoden Nordwestbohmens (Crustacea: Isopoda: Asellota et Oniscidea). Acta sc. nat
Flasarova_2000_Sbor_Okres_muz_Moste_rada_prirodovedna_22_31_32	2000	Flasarova M. 2000. Poznamky o Isopodech (Crustacea: Isopoda: Asellota) v severozapadnich Cechach. III. Sborník Okresního muzea v Moste, rada prirodovedna, 22, 31-32.	Flasarova M.	Sborník Okresního muzea v Moste, rada prirodovedna	Poznamky o Isopodech (Crustacea: Isopoda: Asellota) v severozapadnich Cechach. III
Flasarova_1975_Vest_Cs_Spol_Zool_Praha_39_4_254_264	1975	Flasarova M. 1975. Proasellus coxalis septentrionalis (HERBST) (Isopoda: Asellota) in Bohmen und Mahren. Vestnik Ceskoslovenske Spolecnosti Zoologicke, 39(4), 254-264.	Flasarova M.	Vestnik Ceskoslovenske Spolecnosti Zoologicke	Proasellus coxalis septentrionalis (HERBST) (Isopoda: Asellota) in Bohmen und Mahren
Fiedler_et_al_2009_Lauterbornia_67_163_179	2009	Fiedler S., Kleinsteuber W., Krech M., Arndt E. 2009. Aktuelle Ausbreitung von Neozoen in Elbe Zuflussen Sachsen Anhalts. Lauterbornia 67, 163-179	Fiedler S., Kleinsteuber W., Krech M., Arndt E.	Lauterbornia	Aktuelle Ausbreitung von Neozoen in Elbe Zuflussen Sachsen Anhalts
Ferreira_2002_Unpublished_Data	2002	Ferreira D. 2002. Unpublished data	Ferreira D.	Unpublished data	
Essafi_1988_MS_Thesis_Lyon_Fr	1988	Essafi K. 1988. Problemes relatifs aux transferts d animaux a l interface karst plaine alluviale adjacente. Master Thesis, University of Lyon 1, UMR CNRS 5023, 31 pp.	Essafi K.	Master Thesis, University of Lyon 1, UMR CNRS	Problemes relatifs aux transferts d animaux a l interface karst plaine alluviale adjacente.  5023, 31 pp.
Dudich_1925a_in_Ckmap_2006_database	1925	Dudich 1925a cited in CKmap 2006 pubication	Dudich	Dudich 1925a cited in CKmap 2006 pubication	a cited in CKmap 2006 pubication
Dudich_1925_Zool_Anz_63_1_2_1_7	1925	Dudich E. 1925. Uber die artliche Zugehorigkeit des Asellus von Ungarn, Polen, Dalmatien und !talien. Zoologischer Anzeiger, 63(1-2), 1-7.	Dudich E.	Zoologischer Anzeiger	Uber die artliche Zugehorigkeit des Asellus von Ungarn, Polen, Dalmatien und !talien
Dudich_1925_Annal_Mus_Nat_Hungarici_22_281_301	1925	Dudich E. 1925. Systematische Studien an italienischen Aselliden. Annales Musei Nationalis Hungarici, 22, 281-301.	Dudich E.	Annales Musei Nationalis Hungarici	Systematische Studien an italienischen Aselliden
Dollfus_1892_Rev_Biol_Nord_Fr_Lille_4_4_63_70	1892	Dollfus A. 1892. Note sur les isopodes terrestres et fluviatiles de Syrie recueillis principalement par M. Le Dr. Th. Barrois. Revue Biologique du Nord de la France, Lille, 4(4), 63-70.	Dollfus A.	Revue Biologique du Nord de la France, Lille	Note sur les isopodes terrestres et fluviatiles de Syrie recueillis principalement par M. Le Dr. Th. Barrois
Dole_Olivier_et_al_Freshwat_Biol_54_777_796	2009	Dole-Olivier M.J., Castellarini F., Coineau N., Galassi D.M.P., Martin P., Mori N., Valdecasas A. & Gibert J. 2009. Towards an optimal sampling strategy to assess groundwater biodiversity: comparison across six European regions. Freshwater Biology, 54, 777-796.	Dole-Olivier M.J., Castellarini F., Coineau N., Galassi D.M.P., Martin P., Mori N., Valdecasas A. & Gibert J.	Freshwater Biology	Towards an optimal sampling strategy to assess groundwater biodiversity: comparison across six European regions
Dole_Olivier_et_al_2009_Freshwat_Biol_54_4_797_813	2009	Dole Olivier M.J., Malard F., Martin D., Lefebure T., Gibert J. 2009. Relationships between environmental variables and groundwater biodiversity at the regional scale. Freshwater Biology, 54(4), 797-813.	Dole Olivier M.J., Malard F., Martin D., Lefebure T., Gibert J.	Freshwater Biology	Relationships between environmental variables and groundwater biodiversity at the regional scale
Dole_Olivier_et_al_1993_Arch_Hydrobiol_127_4_451_471	1993	Dole Olivier M. J., Creuze des Chatelliers M., Marmonier P. 1993. Repeated gradients in subterranean landscape. Example of the stygofauna in the alluvial floodplain of the Rhone River (France). Archiv fur Hydrobiologie, 127(4), 451-471.	Dole Olivier M. J., Creuze des Chatelliers M., Marmonier P.	Archiv fur Hydrobiologie	Repeated gradients in subterranean landscape. Example of the stygofauna in the alluvial floodplain of the Rhone River (France)
Dole_Olivier_2002_Unpublished_Data	2002	Dole Olivier M.J. 2002. Unpublished data	Dole Olivier M.J.	Unpublished data	
Dole_Olivier_1998_Freshwat_Biol_40_93_109	1998	Dole Olivier M.J. 1998. Surface water / groundwater exchanges in three dimensions on a backwater of the Rhone river. Freshwater Biology 40, 93-109.	Dole Olivier M.J.	Freshwater Biology	Surface water / groundwater exchanges in three dimensions on a backwater of the Rhone river
Dia_Henry_1984_Annls_Limnol_20_3_193_198	1984	Dia A., Henry J.-P. 1984. Nouvelles donnees sur les Asellides du Liban (Crustacea, Isopoda). Annales de Limnologie, 20(3), 193-198.	Dia A., Henry J.-P.	Annales de Limnologie	Nouvelles donnees sur les Asellides du Liban (Crustacea, Isopoda)
Di_Castro_et_al_1985_in_Ckmap_2006_database	1985	Di Castro et al. 1985 cited in CKmap 2006 pubication	Di Castro et al.	1985 cited in CKmap 2006 pubication	cited in CKmap 2006 pubication
Dethier_Henry_1985_Bul_Soc_Entomol_Suisse_58_471_476	1985	Dethier M., Henry J.-P. 1985. Faune aquatique de la region genevoise: I. Asellotes epiges (Crustacea, Isopoda). Bulletin Societe Entomologique de Suisse, 58, 471-476.	Dethier M., Henry J.-P.	Bulletin Societe Entomologique de Suisse	Faune aquatique de la region genevoise: I. Asellotes epiges (Crustacea, Isopoda)
Dethier_1988_Rev_Suisse_Zool_95_4_1117_1131	1988	Dethier M. 1988. Les macroinvertebres benthiques du Rhone genevois. II. Aspects faunistiques. Revue suisse de Zoologie, 95(4), 1117-1131.	Dethier M.	Revue suisse de Zoologie	Les macroinvertebres benthiques du Rhone genevois. II. Aspects faunistiques
Delhez_1973_in_Henry_1976_PhD_Thesis_Dijon	1973	Delhez 1973 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Delhez	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
Delhez_1967_in_Henry_1976_PhD_Thesis_Dijon	1967	Delhez 1967 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Delhez	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
